node_id	feature(feature_amount:931)	label
0	21,23,28,27,78,91,291,521,570,704,776	3
1	77,92,138,570,615,491,61	3
2	80,125,138,139,432,564,582,625,667	3
3	92,138,481,521,531,611	3
4	521,91,92,111,138,297,55,660	1
5	92,138,570,615	2
6	173,177,521	2
7	12,92,132,138,144,491,625,831,142	4
8	722,593,333,92	1
9	369,387,390,521	1
10	521,225	1
11	92,138,521,700	1
12	521,138,432	0
13	138,92,928	0
14	429	2
15	127,92,77,677,334,252	2
16	21,92,138,144,519,1,521,570,776,46	4
17	521,408	3
18	92,521,917	4
19	61,60,77,78,90,91,92,116,55,129,138,480,490,521,570,553,675,696,704,786,924,595	4
20	89,92,138,741,521	2
21	92,127	1
22	387,369,385	2
23	521,89,92,55,351,447,481,908,252,674,924,250	4
24	188,194,303,448,488,521,732	4
25	91,92,138,142,208,15,521,806	4
26	92,138,208,625,521	3
27	369,387	1
28	193,226,221,369,383,385,387	4
29	10,92,90,132,138,188,194,439,517,602	4
30	369,393	4
31	92,138,252,521,677	2
32	77,92,129,138,521,574,706,898	4
33	322,92,127	1
34	92,163,351,357,397,420,447,454,481,521,557,659,784	4
35	92,121,138,325,326,748	3
36	225,521	0
37	12,92,49,816,138,886,499,521	3
38	92,91,481,128,677	2
39	77,92,129,138,144,521	4
40	92,49,129,138,281,311,499,514,521,762	3
41	17,340,240,481,677	4
42	92,55,243,311,334,481,690,41	3
43	92,138,521	2
44	21,22,80,92,148,133,46,439,554,602	3
45	173,177,521,702	1
46	92,138,521	0
47	488	4
48	369,387,360	3
49	364,369,385,521,390	2
50	77,92,138,144,307,252,521,569,780,877,578	4
51	21,92,521	1
52	127,252	0
53	521,361	1
54	92,127,570	0
55	440	2
56	92,138,521	3
57	92,101,138,521,865	2
58	369,387,385,521,672	4
59	92,51,138,453,521,541	3
60	21,92,138,252,521,738,820,885	1
61	92,96,491,139,521,744,784,899	3
62	80,92,129,138,144,106,246,356,331,880,917	4
63	92,138,615,578,830,331	1
64	35,375,366,369,385,387,522,486	3
65	287,461,521	4
66	21,92,138,521,540,546,747	2
67	92,132,138,521,681,798,800,928	1
68	92,90,138,77,469,521	3
69	92,102,138,252,521	3
70	144,521	0
71	173,174,177,188,193,226,195,521,571,572,753	4
72	63,43,92,90,200,447,861,517,521,446,531,611,647	4
73	92,343,727,604	3
